time,coin,funding,open_interest,prev_day_px,day_ntl_vlm,premium,oracle_px,mark_px,mid_px,impact_bid_px,impact_ask_px
2023-06-01 00:00:00+00:00,DOGE,-0.00041874,501.0,0.072282,4796584.571227,-0.00071874,0.071653,0.071608,0.071603,0.071567,0.071636
2023-06-01 01:00:00+00:00,DOGE,-0.00025423,501.0,0.07251,5133150.459576,-0.00080246,0.071655,0.071614,0.071607,0.071562,0.071633
2023-06-01 02:00:00+00:00,DOGE,-0.00027401,501.0,0.072529,5261118.709107,-0.00059937,0.071742,0.071698,0.071698,0.071664,0.071734
2023-06-01 03:00:00+00:00,DOGE,-0.00027439,501.0,0.07214,5533971.939192,-0.00045797,0.070966,0.070929,0.070931,0.070899,0.070968
2023-06-01 04:00:00+00:00,DOGE,-0.00027558,30330.0,0.072383,5875867.346962,-0.00066601,0.07132,0.071281,0.071274,0.071239,0.071306
2023-06-01 05:00:00+00:00,DOGE,-0.00027605,30330.0,0.072169,5923249.465503,-0.00064465,0.071357,0.071313,0.071302,0.071276,0.071346
2023-06-01 06:00:00+00:00,DOGE,-0.00027473,30330.0,0.07138,3975789.439783,-0.00073835,0.071782,0.071738,0.071734,0.071694,0.071764
2023-06-01 07:00:00+00:00,DOGE,-0.00028192,30330.0,0.071678,3652326.318987,-0.00083159,0.07155,0.071509,0.071492,0.071456,0.071525
2023-06-01 08:00:00+00:00,DOGE,-0.00024561,30330.0,0.071532,3673624.972076,-0.00054561,0.07148,0.071442,0.071441,0.071406,0.071476
2023-06-01 09:00:00+00:00,DOGE,-5.381e-05,30330.0,0.071478,3597995.542469,-0.00030035,0.071584,0.071563,0.071565,0.071534,0.071591
2023-06-01 10:00:00+00:00,DOGE,-6.655e-05,30330.0,0.071548,3558501.390665,-0.00024407,0.0717,0.071668,0.071675,0.071648,0.071717
2023-06-01 11:00:00+00:00,DOGE,-6.186e-05,30330.0,0.071329,3589586.793795,-0.00048866,0.071624,0.071595,0.071593,0.071554,0.071624
2023-06-01 12:00:00+00:00,DOGE,-5.268e-05,30330.0,0.071301,3568611.553689,-0.00034804,0.07183,0.071802,0.071807,0.071775,0.071835
2023-06-01 13:00:00+00:00,DOGE,-4.61e-05,30330.0,0.07132,3759401.000205,-0.00019485,0.07185,0.071832,0.071836,0.071801,0.071871
