time,coin,funding,open_interest,prev_day_px,day_ntl_vlm,premium,oracle_px,mark_px,mid_px,impact_bid_px,impact_ask_px
2023-06-01 00:00:00+00:00,ETH,0.0001,85.5653,1897.9,4811421.59362999,-1.068e-05,1873.5,1873.01,1873.0,1872.42,1874.54
2023-06-01 01:00:00+00:00,ETH,0.0001,93.3954,1902.2,5081352.00378,0.00030198,1871.0,1870.42,1870.65,1870.3,1872.83
2023-06-01 02:00:00+00:00,ETH,0.0001,94.3954,1902.1,5071306.25819999,0.0001654,1874.2,1873.53,1873.5,1873.2,1875.82
2023-06-01 03:00:00+00:00,ETH,0.0001,117.8679,1894.3,5335710.84021,0.00012684,1852.8,1851.9,1851.7,1851.4,1854.67
2023-06-01 04:00:00+00:00,ETH,0.0001,114.7032,1896.3,5396076.29243,0.00033414,1855.5,1854.94,1855.0,1854.7,1857.54
2023-06-01 05:00:00+00:00,ETH,0.0001,126.9211,1872.8,4224345.15673,0.00033966,1854.8,1854.16,1854.35,1854.0,1856.86
2023-06-01 06:00:00+00:00,ETH,0.0001,127.2481,1866.2,3092027.81826,0.00023713,1855.5,1854.9,1855.05,1854.42,1857.46
2023-06-01 07:00:00+00:00,ETH,0.0001,126.7481,1865.8,2513206.37475,0.00023718,1855.1,1854.49,1854.4,1853.91,1857.17
2023-06-01 08:00:00+00:00,ETH,0.0001,126.7481,1868.7,2481065.5712,0.00032357,1854.3,1853.67,1853.95,1853.5,1856.3
2023-06-01 09:00:00+00:00,ETH,0.0001,126.7481,1866.7,2443496.2916,0.00028754,1860.6,1860.0,1860.0,1859.51,1862.76
2023-06-01 10:00:00+00:00,ETH,0.0001,126.7481,1869.3,2389521.43287,0.00029807,1862.0,1861.55,1861.6,1861.1,1864.01
2023-06-01 11:00:00+00:00,ETH,0.0001,136.2144,1865.2,2370989.18432,4.57e-05,1859.8,1859.66,1859.0,1858.9,1860.87
2023-06-01 12:00:00+00:00,ETH,0.0001,127.9725,1864.4,2349337.01444,0.00035992,1861.5,1860.9,1861.1,1860.61,1863.73
2023-06-01 13:00:00+00:00,ETH,0.0001,131.4995,1866.8,2362354.24231,0.00029497,1864.6,1864.29,1864.3,1863.8,1866.5
2023-06-01 14:00:00+00:00,ETH,0.0001,131.7405,1864.3,2263195.69374,0.00032239,1861.1,1860.7,1861.5,1860.76,1862.64
2023-06-01 15:00:00+00:00,ETH,0.0001,133.3645,1860.7,1737816.42046,0.00035476,1860.4,1859.94,1860.05,1859.51,1862.61
2023-06-01 16:00:00+00:00,ETH,0.0001,133.5634,1857.2,1721894.8148,0.00012879,1863.5,1862.72,1863.0,1862.51,1864.97
2023-06-01 17:00:00+00:00,ETH,0.0001,131.4872,1858.4,1703381.03613,0.00030645,1876.3,1875.76,1875.75,1875.32,1878.43
2023-06-01 18:00:00+00:00,ETH,0.0001,124.2245,1866.4,1755225.78007,0.00017371,1870.9,1870.27,1870.3,1869.81,1872.64
2023-06-01 19:00:00+00:00,ETH,0.0001,122.9563,1863.1,1752671.04379,0.00027751,1873.8,1873.12,1873.15,1872.71,1875.93
2023-06-01 20:00:00+00:00,ETH,0.0001,124.5172,1864.8,1984731.10981,0.00015513,1869.4,1868.93,1868.7,1868.13,1871.25
2023-06-01 21:00:00+00:00,ETH,0.0001,123.5272,1865.3,1986358.8626,0.00012039,1869.0,1868.57,1868.35,1867.83,1870.62
2023-06-01 22:00:00+00:00,ETH,0.0001,125.3792,1863.1,1986582.8925,0.00013644,1868.9,1868.35,1868.2,1867.83,1870.48
2023-06-01 23:00:00+00:00,ETH,0.0001,122.7213,1870.0,1964011.74716,0.00010174,1867.5,1866.87,1866.6,1866.11,1869.27
2023-06-02 00:00:00+00:00,ETH,0.0001,125.8829,1873.4,1963509.75836,-4.297e-05,1861.7,1860.8,1860.7,1860.4,1862.84
2023-06-02 01:00:00+00:00,ETH,0.0001,124.9322,1871.6,1823064.59417,0.00025746,1864.4,1863.79,1863.95,1863.52,1866.24
2023-06-02 02:00:00+00:00,ETH,0.0001,115.9079,1873.9,1854912.07261,0.00010975,1867.9,1867.63,1867.45,1867.01,1869.2
