time,coin,funding,open_interest,prev_day_px,day_ntl_vlm,premium,oracle_px,mark_px,mid_px,impact_bid_px,impact_ask_px
2023-06-01 00:00:00+00:00,SOL,-0.0001107,154.08,21.242,11530277.22192002,-0.0004107,20.818,20.8093,20.809,20.7983,20.8206
2023-06-01 01:00:00+00:00,SOL,-1.008e-05,184.8,21.304,11987330.07422001,-4.09e-05,20.781,20.7753,20.7805,20.7698,20.7905
2023-06-01 02:00:00+00:00,SOL,1.627e-05,154.08,21.149,12125197.33673001,-3.372e-05,20.762,20.757,20.7595,20.7512,20.7714
2023-06-01 03:00:00+00:00,SOL,1.039e-05,154.08,21.047,12762604.39627001,-2.197e-05,20.484,20.4807,20.4825,20.4738,20.4933
2023-06-01 04:00:00+00:00,SOL,3.002e-05,154.08,21.092,13485782.39331,-0.00041063,20.7,20.6951,20.693,20.6817,20.7013
2023-06-01 05:00:00+00:00,SOL,6.065e-05,154.08,20.726,11830232.57613999,-0.00020326,20.663,20.66,20.66,20.6479,20.6697
2023-06-01 06:00:00+00:00,SOL,6.515e-05,839.02,20.731,9961107.35298,-0.00012607,20.624,20.6227,20.6205,20.6132,20.6296
2023-06-01 07:00:00+00:00,SOL,6.338e-05,839.02,20.712,8858811.73713001,-0.00033252,20.6,20.5932,20.5945,20.5839,20.6024
2023-06-01 08:00:00+00:00,SOL,0.0001,839.02,20.712,9115810.42595001,-0.00015038,20.615,20.6096,20.6115,20.6013,20.6225
2023-06-01 09:00:00+00:00,SOL,0.0001,839.02,20.711,8675144.06495001,0.00026405,20.64,20.6388,20.6455,20.6353,20.6556
2023-06-01 10:00:00+00:00,SOL,0.0001,839.02,20.685,8488048.21573001,-0.00036715,20.7,20.6953,20.6915,20.6832,20.7016
2023-06-01 11:00:00+00:00,SOL,0.0001,839.02,20.574,8170321.80925001,-0.0004618,20.68,20.6739,20.6715,20.6613,20.6796
2023-06-01 12:00:00+00:00,SOL,0.0001,839.02,20.59,8139416.52310001,-0.00052375,20.716,20.7099,20.706,20.6953,20.715
2023-06-01 13:00:00+00:00,SOL,9.993e-05,839.02,20.566,8356740.96951,-0.00066958,20.834,20.8286,20.8225,20.8095,20.8306
2023-06-01 14:00:00+00:00,SOL,6.867e-05,899.51,20.569,8575685.09755,8.215e-05,20.695,20.6936,20.6965,20.6856,20.7078
2023-06-01 15:00:00+00:00,SOL,6.044e-05,839.02,20.582,8100659.54800001,-0.00054539,20.719,20.7131,20.707,20.6973,20.7181
2023-06-01 16:00:00+00:00,SOL,0.0001,839.02,20.491,8019755.90211001,-0.00011116,20.69,20.6819,20.6875,20.6773,20.6981
2023-06-01 17:00:00+00:00,SOL,-7.521e-05,839.02,20.515,8800375.02615,-0.0004299,20.819,20.8135,20.812,20.8004,20.8197
2023-06-01 18:00:00+00:00,SOL,-8.964e-05,839.02,20.664,8885657.24299001,-0.00040599,20.69,20.6828,20.6845,20.6705,20.6927
